"QID","eidrparty"
"Q11956464","10.5237/C33A-B40F"
"Q12005220","10.5237/A01B-BCCD"
"Q12006943","10.5237/7E04-3168"
"Q13102309","10.5237/6E60-04A2"
"Q13103124","10.5237/9802-2EBE"
"Q14437403","10.5237/DE12-12CB"
"Q14481463","10.5237/3D2C-2797"
"Q16220833","10.5237/148A-7BE9"
"Q16419434","10.5237/09E6-67A8"
"Q16513838","10.5237/4B18-645B"
"Q16949440","10.5237/1AC3-E829"
"Q17082833","10.5237/E732-6543"
"Q17083933","10.5237/35EC-13D8"
"Q17770632","10.5237/0D5B-3699"
"Q18070515","10.5237/C262-DBF8"
"Q19309961","10.5237/00A3-8264"
"Q19751757","10.5237/1429-A584"
"Q20978608","10.5237/2FAA-CFB1"
"Q22019353","10.5237/78DA-FABF"
"Q22116885","10.5237/0FB1-1A99"
"Q23023125","10.5237/71C5-B1F8"
"Q24760226","10.5237/E70C-61DF"
"Q28071521","10.5237/FEAA-B966"
"Q52232930","10.5237/8553-E305"
"Q55508943","10.5237/9864-D6DE"
"Q63644113","10.5237/6A25-D9CC"
"Q65116473","10.5237/AED7-3A60"
"Q77977221","10.5237/A0B0-5C79"
"Q78475820","10.5237/78CD-B6B2"
"Q78631420","10.5237/9781-0CEE"
"Q78787654","10.5237/0928-6BD7"
"Q80174913","10.5237/AE0A-CEAC"
"Q80177162","10.5237/73CA-5A07"
"Q85971242","10.5237/9FA7-F5C0"
"Q89105053","10.5237/FF24-CC7B"
"Q92780901","10.5237/A2EF-6B03"
"Q95402668","10.5237/1AEE-E277"
"Q97460967","10.5237/5840-23BD"
"Q98071103","10.5237/0C2C-1923"
"Q100600872","10.5237/6086-4ECE"
"Q100687578","10.5237/F55D-C4A6"
"Q100707511","10.5237/B6CC-3E5D"
"Q101159239","10.5237/9352-2391"
"Q104866309","10.5237/F4C9-D981"
"Q104866350","10.5237/F1C4-89B4"
"Q107009153","10.5237/40D3-FD23"
"Q107139525","10.5237/E075-0E54"
"Q107139546","10.5237/E327-35D2"
"Q107658628","10.5237/52C7-4FC2"
"Q107676642","10.5237/A5AA-9C70"
"Q107711645","10.5237/1363-1463"
"Q107832772","10.5237/6E82-5372"
"Q107920207","10.5237/6D98-4E33"
"Q107935270","10.5237/A27F-3094"
"Q108108296","10.5237/3CFB-B377"
"Q108133627","10.5237/64D1-35E6"
"Q108168972","10.5237/9943-FBE8"
"Q108178046","10.5237/C8DE-5CDD"
"Q108784264","10.5237/FE0A-3778"
"Q108872988","10.5237/B596-A4AA"
"Q108913822","10.5237/AB2E-11DA"
"Q110703721","10.5237/7DF5-F9AC"
"Q110973490","10.5237/1750-FF2E"
"Q112749789","10.5237/0E01-AA59"
"Q113220333","10.5237/6050-B467"
"Q113644926","10.5237/7D2E-AB00"
"Q115245013","10.5237/AE4A-3DC6"
"Q115489844","10.5237/38AB-B974"
"Q116766736","10.5237/A02D-7117"
"Q116856047","10.5237/E553-40FD"
"Q117788638","10.5237/B6BF-FDBF"
"Q118390865","10.5237/6C1A-4758"
"Q123038445","10.5237/5720-A467"
"Q301092","10.5237/86A3-6768"
"Q574625","10.5237/4A84-1495"
"Q577589","10.5237/2688-B456"
"Q679912","10.5237/78D3-5D35"
"Q1124579","10.5237/D422-AC47"
"Q1146587","10.5237/38C4-F5CE"
"Q1324070","10.5237/22AA-DF13"
"Q1419926","10.5237/C890-A9A3"
"Q2748604","10.5237/734A-78EF"
"Q2873244","10.5237/CD7A-9E10"
"Q3392176","10.5237/FDF4-6072"
