"QID","value","article"
"Q8006213","KJMD-3RK","https://en.wikipedia.org/wiki/William_Bushnell_Stout"
"Q8007101","K2QC-R82","https://en.wikipedia.org/wiki/William_Cooper_Procter"
"Q8008771","9KMM-6MJ",NA
"Q8008778","LJP1-B17","https://en.wikipedia.org/wiki/Pooch_Donovan"
"Q8010055","GW5J-2QG","https://en.wikipedia.org/wiki/William_Gould_Dow"
"Q8010764","K26Y-Y28","https://en.wikipedia.org/wiki/William_Hamilton_Drummond"
"Q8012510","M7DZ-7W6","https://en.wikipedia.org/wiki/William_Horlick"
"Q8014444","LRGM-YPM","https://en.wikipedia.org/wiki/William_Leeming_Harrison"
"Q8016482","KC7L-6XL","https://en.wikipedia.org/wiki/William_P._MacCracken_Jr."
"Q8017172","L181-V2V","https://en.wikipedia.org/wiki/William_R._Badger"
"Q8017363","L5NH-YYC","https://en.wikipedia.org/wiki/William_Randolph_Hearst_Jr."
"Q8017791","M9LX-4S2","https://en.wikipedia.org/wiki/William_Rothery"
"Q8018218","LZLX-1XY","https://en.wikipedia.org/wiki/William_Scott_Ament"
"Q8019856","LZ3N-CQK","https://en.wikipedia.org/wiki/William_W._Woollcott"
"Q8038242","KTZK-DN9","https://en.wikipedia.org/wiki/Wright_Post"
"Q9374828","KC8P-V63","https://en.wikipedia.org/wiki/W._W._Fosdick"
"Q9621646","M4K2-L81",NA
"Q9648095","G4JW-7Z6",NA
"Q10266505","L1SF-SFG","https://en.wikipedia.org/wiki/Din%C3%A1_Silveira_de_Queir%C3%B3s"
"Q10307125","9JHP-Q7W",NA
"Q10307998","LVYM-2R6",NA
"Q10310067","KLLT-W2D","https://en.wikipedia.org/wiki/Jos%C3%A9_Martiniano_Pereira_de_Alencar"
"Q10311174","9XVQ-14X",NA
"Q10311450","KL8Q-Y8D",NA
"Q10320111","L2JL-8CK","https://en.wikipedia.org/wiki/Loye_H._Miller"
"Q10326108","LYTK-LSN","https://en.wikipedia.org/wiki/Maria_Tom%C3%A1sia_Figueira_Lima"
"Q10383118","LF78-8WK",NA
"Q10857645","GNN1-44V",NA
"Q10944433","G6VQ-GBN",NA
"Q11288151","GMHQ-57L","https://en.wikipedia.org/wiki/William_Phillips_(diplomat)"
"Q11310746","L5DH-HFM","https://en.wikipedia.org/wiki/John_K._Caldwell"
"Q11762840","LVNQ-1K8","https://en.wikipedia.org/wiki/Louis_Zamperini"
"Q11887887","LDB5-64G",NA
"Q11899673","GCQV-YCN",NA
"Q11901811","GZC7-G42",NA
"Q11925859","GN7K-LS9",NA
"Q12019398","L2KV-4Y8","https://en.wikipedia.org/wiki/Helen_Ogston"
"Q12023108","GZPP-RWW",NA
"Q12023257","GHCZ-K71","https://en.wikipedia.org/wiki/Jan_W._Speerger"
"Q12025291","G93P-874",NA
"Q12032592","G98R-DCD",NA
"Q12429201","LKTV-632","https://en.wikipedia.org/wiki/James_Laughlin"
"Q12635219","GDMF-78M","https://en.wikipedia.org/wiki/Ladislaus_of_Ilok"
"Q12785155","KLCL-GZF",NA
"Q12790901","GDFY-K28",NA
"Q12806350","9M9R-VYC","https://en.wikipedia.org/wiki/William_MacArthur_(British_Army_officer)"
"Q12898598","LYMZ-1LS","https://en.wikipedia.org/wiki/Ador%C3%A9e_Villany"
"Q13036476","LH1T-8G5","https://en.wikipedia.org/wiki/Irene_Castle"
"Q13521906","K887-3LS","https://en.wikipedia.org/wiki/Herbert_Lawrence_Bridgman"
"Q13529998","GW5Y-6ZP","https://en.wikipedia.org/wiki/John_Molson_(British_politician)"
"Q13847673","LRQX-HL6","https://en.wikipedia.org/wiki/Susannah_Mushatt_Jones"
"Q14264308","MW7W-VCL","https://en.wikipedia.org/wiki/Diane_Disney_Miller"
"Q14970190","LHQL-84F",NA
"Q15027569","GX5K-FKH",NA
"Q15139263","GMKP-44V","https://en.wikipedia.org/wiki/Richard_Arvin_Overton"
"Q15179499","KFTT-FZQ","https://en.wikipedia.org/wiki/Jefferson_Machamer"
"Q15439558","9WCF-9CR",NA
"Q15455714","LCB4-C2B","https://en.wikipedia.org/wiki/Hugh_Hornby_Birley"
"Q15459189","GXNF-3WN","https://en.wikipedia.org/wiki/John_Ruggles-Brise"
"Q15516714","GDS4-SGY","https://en.wikipedia.org/wiki/Julius_B._Richmond"
"Q15619233","L1WS-TTT","https://en.wikipedia.org/wiki/Brinsley_Ford"
"Q15626905","K2KY-TMB",NA
"Q15733974","LBMF-G3T",NA
"Q15790844","GZNR-VB2","https://en.wikipedia.org/wiki/Calvin_L._Stevens"
"Q15821594","L2GY-Z9J","https://en.wikipedia.org/wiki/John_W._Considine_Jr."
"Q15882865","LBQ5-BGL","https://en.wikipedia.org/wiki/Tomas_Fonacier"
"Q15914396","G4NR-YT5",NA
"Q15933870","KJD2-XG2","https://en.wikipedia.org/wiki/William_Edward_Macklin"
"Q15945038","M9FL-JTY","https://en.wikipedia.org/wiki/Alice_Carter_Cook"
"Q15995657","MZK9-DBY","https://en.wikipedia.org/wiki/Edward_Bechly"
"Q15997790","LBMS-LK6","https://en.wikipedia.org/wiki/Judson_Hyames"
"Q15999534","G3HG-7NC","https://en.wikipedia.org/wiki/Robert_Hugh_Willan"
"Q16007374","LYCV-BB6","https://en.wikipedia.org/wiki/Henry_Alexander_Davidson"
"Q16014458","LD9Y-TXF","https://en.wikipedia.org/wiki/Maud_Morgan"
"Q16023230","L51S-W49","https://en.wikipedia.org/wiki/Charles_H._Fuller"
"Q16025235","GDZC-TS4","https://en.wikipedia.org/wiki/John_Kelly_(Royal_Navy_officer)"
"Q16028702","L1DM-9L6",NA
"Q16029355","GDNQ-WJH","https://en.wikipedia.org/wiki/William_Nicholson_(Royal_Navy_officer)"
"Q16030365","GV3M-WTD","https://en.wikipedia.org/wiki/Henry_van_Hien"
"Q16058432","KH53-DMS","https://en.wikipedia.org/wiki/Otto_Ringling"
"Q16058862","LC2W-WZ9",NA
"Q16060087","K8LW-WDP","https://en.wikipedia.org/wiki/Nelson_J._Waterbury"
"Q16062290","MSC6-BK3","https://en.wikipedia.org/wiki/Cecilia_Glaisher"
"Q16063313","KPSK-MJN","https://en.wikipedia.org/wiki/John_Hough_James"
"Q16065318","KCCQ-7SC","https://en.wikipedia.org/wiki/Samuel_E._Dimmick"
"Q16065545","G73B-F23","https://en.wikipedia.org/wiki/Michael_McNamara_(Medal_of_Honor)"
"Q16066196","LHJD-KQN","https://en.wikipedia.org/wiki/John_Horsley_Palmer"
"Q16066920","GZHC-S9P","https://en.wikipedia.org/wiki/Margaret_Damer_Dawson"
"Q16198585","94HK-R9P","https://en.wikipedia.org/wiki/Joseph_C._Hoagland"
"Q16226698","9QT4-TLN",NA
"Q16241746","L5DL-GVP","https://en.wikipedia.org/wiki/Walter_J._Fourt"
"Q16494453","GW9W-2RY",NA
"Q16507415","K8BN-ZFD",NA
"Q16649064","MS1S-2Z4",NA
"Q16650422","GD8G-VNX",NA
"Q16650444","MY8N-XKK","https://en.wikipedia.org/wiki/Per_Sylvan"
"Q16743442","LCRN-PPR","https://en.wikipedia.org/wiki/George_Thomas_Bettany"
"Q16745698","M47H-V5Z",NA
"Q16749866","G6H7-RSN","https://en.wikipedia.org/wiki/Mary_Potter_(painter)"
"Q16836682","L4TR-BRV","https://en.wikipedia.org/wiki/Reubin_Field"
"Q16857089","MN5W-FQV","https://en.wikipedia.org/wiki/John_T._Apthorp"
"Q16858000","9KZM-FVG","https://en.wikipedia.org/wiki/Joseph_Medworth"
"Q16917754","L6H6-1B6",NA
"Q16943916","GQG2-JD3",NA
"Q17224831","GMD5-4HC",NA
"Q17285821","GCGX-W52",NA
"Q17310468","GXK8-JXH","https://en.wikipedia.org/wiki/Basil_Collier"
"Q17311798","K8QB-WKQ",NA
"Q17423422","LZDZ-JBJ","https://en.wikipedia.org/wiki/Manuel_Jimeno_Casar%C3%ADn"
"Q17432695","KZ45-N76",NA
"Q17453082","GZYJ-DWQ","https://en.wikipedia.org/wiki/George_Bronson_Howard"
"Q17917738","GC7H-2FJ","https://en.wikipedia.org/wiki/Michael_Rubinstein"
"Q17989530","L2C5-6QN","https://en.wikipedia.org/wiki/Johann_Berenberg"
"Q18207913","MDT9-1SN","https://en.wikipedia.org/wiki/Sir_Charles_Huntington,_1st_Baronet"
"Q18226763","L18F-MR1","https://en.wikipedia.org/wiki/Harry_K._Shigeta"
"Q18243099","9CBK-P3D",NA
"Q18325155","M9KR-SXS","https://en.wikipedia.org/wiki/Daniel_Havell"
"Q18342462","LZ6D-RBN",NA
"Q18419223","KZC9-C6T","https://en.wikipedia.org/wiki/McKee_Rankin"
"Q18534084","M5V9-JCR","https://en.wikipedia.org/wiki/Robert_Ober"
"Q18576664","LWRM-BFC","https://en.wikipedia.org/wiki/Mabel_St_Clair_Stobart"
"Q18609681","L8RT-NJP","https://en.wikipedia.org/wiki/Charles_H._Land"
"Q18619115","M5B2-5GJ","https://en.wikipedia.org/wiki/Tudor_Wilkinson"
"Q18638602","M7WR-GNJ","https://en.wikipedia.org/wiki/Rose_Melville"
"Q18671745","LL9K-2K4",NA
"Q18693141","LVJC-69W",NA
"Q18716123","9HC8-KMS","https://en.wikipedia.org/wiki/Rose_E._Collom"
"Q18751337","LYJQ-HH8","https://en.wikipedia.org/wiki/William_G._Rohrer"
"Q18811170","KVJJ-R9V",NA
"Q18910584","KCHS-QSQ","https://en.wikipedia.org/wiki/Edward_Waller_Claypole"
"Q18910627","MV24-VDY",NA
"Q18912155","LWW2-B2Q","https://en.wikipedia.org/wiki/Wilhelmine_Key"
"Q18912463","M7LW-CGC",NA
"Q19359323","LHTW-YRD","https://en.wikipedia.org/wiki/John_Howard_Redfield"
"Q19502186","KGC2-NQ9",NA
"Q19577582","LY4Q-5HH","https://en.wikipedia.org/wiki/William_Henry_Poole"
"Q19663259","LY29-FM8","https://en.wikipedia.org/wiki/Herbert_H._Kiehn"
"Q19666814","KZHM-J7Z","https://en.wikipedia.org/wiki/George_Paynter_(British_Army_officer)"
"Q20128805","L6Q8-MPC",NA
"Q20658456","9HV3-SVQ",NA
"Q20669522","L463-CG4",NA
"Q20684002","MG6D-ZTF","https://en.wikipedia.org/wiki/Charles_Wilberforce_Daniels"
"Q20706196","KGYQ-83L",NA
"Q20807291","L71G-RB9","https://en.wikipedia.org/wiki/Oliver_Ellsworth_Daggett"
"Q20810671","LZXH-LHP","https://en.wikipedia.org/wiki/Stephen_Coffin"
"Q20816949","LZ9S-FRN",NA
"Q20968612","GMKT-Q7M","https://en.wikipedia.org/wiki/Cyril_A._Stebbins"
"Q21006629","LVZP-K7T",NA
"Q21038643","LX74-619","https://en.wikipedia.org/wiki/Rose_Livingston"
"Q21062323","9HXR-HDZ","https://en.wikipedia.org/wiki/Emma_Laughlin"
"Q21151348","LBHX-XCY","https://en.wikipedia.org/wiki/William_R._Orthwein_Jr."
"Q21154412","LKT5-9M4","https://en.wikipedia.org/wiki/Alice_Coomaraswamy"
"Q21165574","2D6P-PSD",NA
"Q21165730","L46L-8RD","https://en.wikipedia.org/wiki/Robert_Stearne_Tighe"
"Q21388215","K465-58G","https://en.wikipedia.org/wiki/J._F._Gates_Clarke"
"Q21389019","GD9R-G94",NA
"Q21392282","GFQ4-5XH","https://en.wikipedia.org/wiki/Edmund_William_Mason"
"Q21405712","K8HK-LPV","https://en.wikipedia.org/wiki/William_Sloane_Coffin_Sr."
"Q21460381","GQRC-K4G",NA
"Q21464496","L27K-76H","https://en.wikipedia.org/wiki/Gilbert_Holiday"
"Q21504498","LK5Y-QD5",NA
"Q21505560","LDCQ-VW6",NA
"Q21506243","L27S-91B",NA
"Q21512690","KZPF-CR3",NA
"Q21516139","LVYH-DGT",NA
"Q21531590","LZNH-MVS","https://en.wikipedia.org/wiki/William_Smythe_(physicist)"
"Q21535118","LR7Q-VXG","https://en.wikipedia.org/wiki/Jennie_Scott_Griffiths"
"Q21544870","L5YT-L1Y",NA
"Q21552541","GM13-VG6",NA
"Q21610040","9QRR-N64",NA
"Q21664409","KGF5-71V","https://en.wikipedia.org/wiki/Jessica_Garretson_Finch"
"Q21702114","GMZX-D71",NA
"Q21978340","9JPJ-14F","https://en.wikipedia.org/wiki/Annette_Meakin"
"Q21993922","GM5G-YK6",NA
"Q22019990","LZN8-BZJ","https://en.wikipedia.org/wiki/Elijah_Bristow"
"Q22023352","M7G6-4SV","https://en.wikipedia.org/wiki/Donald_L._Munro"
"Q22047659","9ZMQ-HZL",NA
"Q22341334","M74F-M4P","https://en.wikipedia.org/wiki/Modest_Stein"
"Q22681770","GZNG-GVT",NA
"Q22812623","L87H-WGY",NA
"Q22915129","L51S-PJF","https://en.wikipedia.org/wiki/Dorothy_Vaughan"
"Q22919705","LBPZ-C6N","https://en.wikipedia.org/wiki/Ruth_Renick"
"Q22952511","KL59-Z9K","https://en.wikipedia.org/wiki/Mary_Anne_MacLeod_Trump"
"Q22965897","G785-CL4",NA
"Q22999764","LN6T-HDC",NA
"Q23018280","LH1W-MZ6","https://en.wikipedia.org/wiki/Frederick_Lothrop_Ames"
"Q23018865","KZDQ-F9S","https://en.wikipedia.org/wiki/Charles_Patton_Keyes"
"Q23058840","LT4D-SBS","https://en.wikipedia.org/wiki/Mabel_Rowland"
"Q23303257","MWLX-R51","https://en.wikipedia.org/wiki/Morgan_Belmont"
"Q23613798","L6PC-T5Q","https://en.wikipedia.org/wiki/Henry_Wilson_Hodge"
"Q23618765","LJRB-ZQW","https://en.wikipedia.org/wiki/Bert_Swor"
"Q24040310","GDML-4XT","https://en.wikipedia.org/wiki/Mar%C3%ADlia_Mendon%C3%A7a"
"Q24196978","LD8X-3VM","https://en.wikipedia.org/wiki/Brinsley_FitzGerald"
"Q24489868","L84F-2XV",NA
"Q24809681","LVD8-2KV","https://en.wikipedia.org/wiki/George_H._Barker"
"Q24960732","L8GS-N29",NA
"Q24988289","LDXZ-LLQ","https://en.wikipedia.org/wiki/Horace_Knight"
"Q25858116","MMWM-FBN",NA
"Q26101945","LR3G-HZT",NA
"Q26244101","LKDS-BVY",NA
"Q26689917","L5GZ-RTN","https://en.wikipedia.org/wiki/Edward_Tufnell_(politician)"
"Q26722215","GST6-PLZ","https://en.wikipedia.org/wiki/John_Hendley_Morrison_Kirkwood"
"Q26734944","LY1S-SZ8","https://en.wikipedia.org/wiki/Herbert_Looker"
"Q27057956","GWW3-J11","https://en.wikipedia.org/wiki/Janet_Sheather"
"Q27178388","LC33-52R","https://en.wikipedia.org/wiki/Walter_Woodthorpe"
"Q27546520","LW4W-7W1",NA
"Q27661908","GJJ7-89F",NA
"Q27822040","LHW3-33F",NA
"Q27850008","9VWY-SD5",NA
"Q27926011","MBPJ-1BF","https://en.wikipedia.org/wiki/Elwyn_Seelye"
"Q28114754","L8BT-DXR","https://en.wikipedia.org/wiki/Lacy_Irvine_Moffett"
"Q28136371","L2DQ-BP3",NA
"Q28363727","LZVV-G89","https://en.wikipedia.org/wiki/James_Estabrook"
"Q28599121","M6HN-4B5",NA
"Q28709292","LV5K-6H4",NA
"Q28733222","LY4D-4JY",NA
"Q28791119","KZBK-6XC","https://en.wikipedia.org/wiki/Mariette_Leslie_Cotton"
"Q29052090","X1T8-PTY",NA
"Q29349695","GSPT-DRG","https://en.wikipedia.org/wiki/John_C._Towler"
"Q29381058","LBWD-Z6D",NA
"Q29634713","9HV3-3DN",NA
"Q29788521","9HV3-3D5",NA
"Q29949862","KD12-PKB","https://en.wikipedia.org/wiki/Catherine_Tylney-Long"
"Q30015077","G8FK-J2S","https://en.wikipedia.org/wiki/Martha_R._Field"
"Q30474596","9HV3-SNV",NA
"Q30693497","KHGM-GCX","https://en.wikipedia.org/wiki/Hibbert_Newton_Binney"
"Q31202186","LT6R-1DM",NA
"Q31352432","K2M9-K7K","https://en.wikipedia.org/wiki/Warren_Olney_Jr."
"Q32914816","LBD8-GC9",NA
"Q33108238","LZP1-NWT",NA
"Q33120437","LTND-2NV",NA
"Q34222120","L81Y-879",NA
"Q34336222","LVXV-4ZG","https://en.wikipedia.org/wiki/Leila_Roosevelt"
"Q34385873","L14W-K5M","https://en.wikipedia.org/wiki/Edmund_Hazle"
"Q34850319","9XBC-M45",NA
"Q35160641","L681-8G1","https://en.wikipedia.org/wiki/Marjorie_Mestayer"
"Q37336969","MWX5-H99",NA
"Q37615977","LTVC-KZK","https://en.wikipedia.org/wiki/L._Vance_Phillips"
"Q37864166","LTR7-7CM",NA
"Q39053939","GM17-DZT","https://en.wikipedia.org/wiki/Henry_S._Halbert"
"Q40139008","M9CY-G8Y","https://en.wikipedia.org/wiki/Edward_Larned"
"Q40247264","L6NL-8R2","https://en.wikipedia.org/wiki/Caroline_M._Sawyer"
"Q40379944","LVN9-93G",NA
"Q40741836","G9X5-SL1",NA
"Q41032883","LYM9-627",NA
"Q41360325","LZXP-G24","https://en.wikipedia.org/wiki/Francis_R._Appleton"
"Q41529365","LY9D-6T4","https://en.wikipedia.org/wiki/Stephen_Paddock"
"Q41544238","LY4P-D4L","https://en.wikipedia.org/wiki/Benjamin_Hoskins_Paddock"
"Q41667520","999S-35R",NA
"Q42404043","L448-VFN",NA
"Q42737805","LT4V-W9V",NA
"Q44470977","KDMD-SV2",NA
"Q44715267","G35T-ZKL",NA
"Q44811116","L7BJ-Z7B","https://en.wikipedia.org/wiki/Renee_Harris_(producer)"
"Q45040785","LR7V-XCP",NA
"Q45416380","G6V7-JR3",NA
"Q45416438","G6V7-MB6",NA
"Q45571845","LKB7-HR4",NA
"Q45841195","L4HD-YLP",NA
"Q46003665","LYNB-TL4",NA
"Q46167569","9VL3-C22",NA
"Q47037377","L8SG-VH4",NA
"Q47088431","LDQ3-5BP",NA
"Q47090398","GH8B-K7N",NA
"Q47115478","G6Y9-2SD",NA
"Q47123797","KJPG-H57",NA
"Q47144723","L61P-6R2",NA
"Q47318374","2DJ3-RMF",NA
"Q47416631","LYP3-PWH",NA
"Q47468972","L4T9-H97",NA
"Q47482761","LBS4-W1R",NA
"Q47518479","9DKC-KTL",NA
"Q47541773","MP4S-HCX","https://en.wikipedia.org/wiki/Louise_Brown_(historian)"
"Q47969761","L41M-9X4","https://en.wikipedia.org/wiki/Alma_Francis"
"Q48025937","LHTR-L5P",NA
"Q48811520","9HV3-SVX",NA
"Q48876418","G3B7-WXJ",NA
"Q48977722","9V54-C8J",NA
"Q49287034","KZHQ-KXS",NA
"Q49331823","KG8Y-GFS",NA
"Q50228264","KLCR-F8W",NA
"Q50311374","LB7M-KHV",NA
"Q50374827","9CH6-XLT","https://en.wikipedia.org/wiki/Louise_Hammond_Willis_Snead"
"Q50384336","KH22-Q1S","https://en.wikipedia.org/wiki/Nancy_Maria_Donaldson_Johnson"
"Q50526611","GMP8-KM7","https://en.wikipedia.org/wiki/Henrietta_Bingham"
"Q50589347","L4HD-G3K",NA
"Q50805139","GD3X-CV7","https://en.wikipedia.org/wiki/James_Leith_Moody"
"Q51001047","MGHX-QTG",NA
"Q51077425","LBX1-RLG",NA
"Q51284746","L1JQ-SWG",NA
"Q52242600","LX83-YPV","https://en.wikipedia.org/wiki/Jonathan_Edwards_Woodbridge"
"Q52971538","LWLB-T6D","https://en.wikipedia.org/wiki/Joel_Owsley_Cheek"
"Q53111024","96QP-YFZ",NA
"Q53598867","LB5D-9M8",NA
"Q54418896","LBYN-XL1",NA
"Q54805587","GJFT-Y5H",NA
"Q55098799","LHVK-VBJ","https://en.wikipedia.org/wiki/Chandos_Hoskyns_(British_Army_officer)"
"Q55236806","G3KX-CHZ",NA
"Q55238452","L4X6-DX5",NA
"Q55626782","GWNH-CPT",NA
"Q55714718","K84X-N6M",NA
"Q55720459","L5DV-2SQ","https://en.wikipedia.org/wiki/Abby_Howland_Woolsey"
"Q55721051","L8MT-DX1",NA
"Q55729485","L6CN-RMB",NA
"Q55756754","LHZV-8TL",NA
"Q55842934","GSXC-DMZ",NA
"Q55845954","KL59-LS1",NA
"Q55874866","M588-73Y",NA
"Q55903229","G3KD-QZY",NA
"Q55907168","G32B-95N",NA
"Q55941312","L2J1-ZV7","https://en.wikipedia.org/wiki/Yan_Phou_Lee"
"Q55957048","LRNG-YYF",NA
"Q55966398","2S42-298",NA
"Q56103124","LW99-HTD",NA
"Q56205746","GSTC-CNL",NA
"Q56254174","GSSB-2VT","https://en.wikipedia.org/wiki/Isabella_Goodwin"
"Q56278617","M8WN-FMQ","https://en.wikipedia.org/wiki/Eleanor_Darnall_Carroll"
"Q56528139","MDKS-BWT",NA
"Q56546495","L1PQ-V13",NA
"Q56560625","GQ66-WS1","https://en.wikipedia.org/wiki/Alfred_Schmitz_Shadd"
"Q56599252","L1P1-DZP",NA
"Q56604172","LH5F-SFP",NA
"Q56724058","G6S8-Y7K","https://en.wikipedia.org/wiki/Charles_S._L._Baker"
"Q56741122","KP31-ZG3",NA
"Q56757194","LV37-PQ1","https://en.wikipedia.org/wiki/John_Lot_Kauluko%CA%BBu"
"Q56817104","9HGM-296","https://en.wikipedia.org/wiki/Robert_Newbolt"
"Q58331876","9SQV-V5Z",NA
"Q58332226","L637-L8R",NA
"Q58358600","GM44-7Q6",NA
"Q58603768","K4JL-1XY",NA
"Q58707985","L24X-KCV",NA
"Q59161469","GM8Y-FH7",NA
"Q59195296","9C83-ZCZ",NA
"Q59346154","KG65-261",NA
"Q59588397","LTRD-V1S","https://en.wikipedia.org/wiki/William_Penn_Cresson"
"Q59627385","LD5S-4H3",NA
"Q59628757","GNYF-13X",NA
"Q59631874","KD7R-H7C",NA
"Q59692252","LHW4-Z6T",NA
"Q60159912","L27J-MV9",NA
"Q60192891","M2RY-9ZR",NA
"Q60330037","GC2X-LCF","https://en.wikipedia.org/wiki/Frances_Hyland_(screenwriter)"
"Q60332351","KHXQ-JF2","https://en.wikipedia.org/wiki/Agnes_Blake_Poor"
"Q60438918","MWDH-6PV",NA
"Q60505533","GM4W-XHB",NA
"Q60518985","GMNN-THD",NA
"Q60602751","GWC7-D1Y",NA
"Q60643088","K8FM-QC9",NA
"Q60668471","MCD8-TBK",NA
"Q60998736","M436-5Q4",NA
"Q61474617","L8MD-VPB",NA
"Q61474682","KZG5-RPD",NA
"Q61569636","GSYV-276",NA
"Q61569641","GZN3-LG6","https://en.wikipedia.org/wiki/Princess_Mathilde_of_Sch%C3%B6nburg-Waldenburg"
"Q61623108","GMHB-PQ9",NA
"Q61726423","LCZS-B7B",NA
"Q61781272","G97L-GYL",NA
"Q61874947","L4YQ-9F5",NA
"Q61876322","G94H-LG8",NA
"Q61910113","L81Y-SG2",NA
"Q61911951","GCNQ-Y3F",NA
"Q61974048","GMW3-RGR",NA
"Q61978206","GM5H-9NR",NA
"Q61993902","GM56-4RV",NA
"Q62016084","MKH8-4YV","https://en.wikipedia.org/wiki/Nelle_G._Burger"
"Q62030622","G98D-9W2",NA
"Q62060599","G981-M7G",NA
"Q62070147","LCZT-JYQ",NA
"Q62120657","LDTY-1XF","https://en.wikipedia.org/wiki/James_Rush"
"Q62395663","GM5N-LMB",NA
"Q62416004","MGJT-LNX",NA
"Q62567526","GMH1-3FQ",NA
"Q62606972","GM5J-CFJ",NA
"Q62656341","GM56-7GW",NA
"Q62694391","9442-8WK",NA
"Q62766099","L2V7-VQ3",NA
"Q62769462","LHFJ-CZ5","https://en.wikipedia.org/wiki/Charles_Steele_(lawyer)"
"Q62884630","LHDP-B31","https://en.wikipedia.org/wiki/Edna_Holland"
"Q63112049","K69M-MVJ",NA
"Q63156437","LRDB-5LM",NA
"Q63157213","KFDW-CR9",NA
"Q63159085","LC5S-82L",NA
"Q63159377","9NJ2-LTV",NA
"Q63163208","LWDL-GXK",NA
"Q63184832","G9LM-KLP",NA
"Q63214145","KC2C-644","https://en.wikipedia.org/wiki/Amos_Tuck_French"
"Q63351579","LDWH-NXC","https://en.wikipedia.org/wiki/Edward_Francis_Blewitt"
"Q63405919","LHN9-HG3",NA
"Q63485801","G9RX-TJ7",NA
"Q63487040","LKC3-Z4C",NA
"Q63498840","K249-X62","https://en.wikipedia.org/wiki/Jane_Kelley_Adams"
"Q63586671","LRWQ-VK7",NA
"Q63850388","G9BK-213",NA
"Q63980049","L7HH-1Y2","https://en.wikipedia.org/wiki/Mary_K._Buck"
"Q63985967","LRY6-NSX",NA
"Q64140576","GSS7-TL6","https://en.wikipedia.org/wiki/Edith_Stockton"
"Q64167897","K6H7-5DQ","https://en.wikipedia.org/wiki/Cornelia_Dow"
"Q64261849","L1JV-NHK","https://en.wikipedia.org/wiki/Laura_Rosamond_White"
"Q64355393","LH1C-KQS",NA
"Q64481549","LTZX-S8L",NA
"Q64485384","LCT4-CWS","https://en.wikipedia.org/wiki/Minnie_Gow_Walsworth"
"Q64667534","KCHG-26L",NA
"Q64684292","K82V-XNB",NA
"Q64825304","K4V2-1ZT",NA
"Q64827042","LDR1-MKR","https://en.wikipedia.org/wiki/Alice_Beville_Collins"
"Q64829645","GSCY-PP7",NA
"Q64860727","KNDY-DBP","https://en.wikipedia.org/wiki/Dorothy_Jenkin"
"Q64868069","G7SK-L21",NA
"Q64873831","LWBV-RS1",NA
"Q64878075","K6MB-KX1",NA
"Q64931121","KNWZ-BQC","https://en.wikipedia.org/wiki/Alice_Olin_Dows"
"Q65017049","LRF3-FBB",NA
"Q65083669","LYHF-MNP","https://en.wikipedia.org/wiki/John_Carr_Badeley"
"Q65093779","K45K-3KX","https://en.wikipedia.org/wiki/Betsey_Ann_Stearns"
"Q65511865","LH8M-82J",NA
"Q65581429","94BD-4QN","https://en.wikipedia.org/wiki/Effie_Hoffman_Rogers"
"Q65589568","GSFS-XZ7",NA
"Q65921706","MTL9-MZY",NA
"Q65931919","KZGP-CY7",NA
"Q65948955","9QSN-2FX",NA
"Q65995772","LKJT-8W2",NA
"Q65996003","L64X-L1T",NA
"Q66017693","GSVP-D58",NA
"Q66309174","GS22-93P",NA
"Q66380857","GSLT-VJZ",NA
"Q66401989","G38C-MXP",NA
"Q66442356","GSGJ-YRD",NA
"Q66481361","L4HN-W94",NA
"Q66483944","GSP3-JMH",NA
"Q66564523","LN1S-YPV",NA
"Q66568139","MMWY-Z14",NA
"Q66606293","GS53-DKS",NA
"Q66619233","LBWZ-B99",NA
"Q66659543","GS5F-YLF",NA
"Q66666954","KC37-K6S",NA
"Q66694580","L8YQ-MV1",NA
"Q66699139","M8TR-TR4","https://en.wikipedia.org/wiki/T._Adelaide_Goodno"
"Q66777948","9WWF-7HR","https://en.wikipedia.org/wiki/Helen_Damrosch_Tee-Van"
"Q66779156","L2NN-4TP",NA
"Q66817844","KHC5-79B",NA
"Q67155311","KC2P-SV6",NA
"Q67184079","LDS3-WDW",NA
"Q67193056","LBDW-FQT",NA
"Q67203448","GS1V-YGN",NA
"Q67454699","MT1G-8HV",NA
"Q67482693","27S1-LGV",NA
"Q67938853","L5GB-ZG3",NA
"Q68605980","LHX5-QPV",NA
"Q69722247","LD23-GSF",NA
"Q69745842","K4YX-DLZ","https://en.wikipedia.org/wiki/Enoch_Train"
"Q70099193","KWCY-NWN",NA
"Q70242725","LJK8-SYB",NA
"Q70521709","M9CK-DW2",NA
"Q71298891","9HV3-SB5",NA
"Q71405332","LR3K-1J4",NA
"Q71745494","LRH3-XZ1",NA
"Q72187868","GWQQ-VJ2","https://en.wikipedia.org/wiki/Anne_V._Ward"
"Q72427018","G3DJ-6TV",NA
"Q72875133","L79M-VNT",NA
"Q73049605","K867-2LT",NA
"Q73412712","9K6G-JBX",NA
"Q73426558","K6M6-4RN","https://en.wikipedia.org/wiki/May_Davenport_Seymour"
"Q73757673","GQ3H-TTZ",NA
"Q73889791","K8P9-7DM",NA
"Q74698102","LZND-D18","https://en.wikipedia.org/wiki/Helen_S._Woodruff"
"Q75244087","LHYL-1J2",NA
"Q75251506","GDKC-Z3R",NA
"Q75253677","LZPW-JKP",NA
